,source,target,time
87,0@purdue.edu,59@purdue.edu,1/17/16 18:38
88,0@purdue.edu,26@purdue.edu,1/17/16 20:36
89,0@purdue.edu,27@purdue.edu,1/17/16 21:36
90,0@purdue.edu,60@purdue.edu,1/18/16 16:42
91,0@purdue.edu,61@purdue.edu,1/18/16 17:10
92,60@purdue.edu,62@purdue.edu,1/18/16 21:59
93,0@purdue.edu,62@purdue.edu,1/18/16 22:02
94,0@purdue.edu,32@purdue.edu,1/19/16 0:35
95,61@purdue.edu,27@purdue.edu,1/19/16 16:20
96,0@purdue.edu,63@purdue.edu,1/19/16 21:01
97,63@purdue.edu,64@purdue.edu,1/19/16 22:51
98,0@purdue.edu,24@purdue.edu,1/21/16 22:53
99,0@purdue.edu,14@purdue.edu,1/22/16 0:57
100,14@purdue.edu,14@purdue.edu,1/22/16 0:59
101,0@purdue.edu,14@purdue.edu,1/22/16 1:03
102,0@purdue.edu,65@purdue.edu,1/16/16 13:24
103,0@purdue.edu,47@purdue.edu,1/16/16 16:51
104,0@purdue.edu,66@purdue.edu,1/17/16 17:18
105,0@purdue.edu,67@purdue.edu,1/17/16 19:38
106,0@purdue.edu,26@purdue.edu,1/17/16 20:11
107,0@purdue.edu,26@purdue.edu,1/17/16 20:12
108,0@purdue.edu,26@purdue.edu,1/17/16 20:21
109,0@purdue.edu,26@purdue.edu,1/17/16 20:39
110,0@purdue.edu,26@purdue.edu,1/17/16 20:41
111,0@purdue.edu,27@purdue.edu,1/19/16 16:15
112,65@purdue.edu,32@purdue.edu,1/19/16 16:16
113,0@purdue.edu,68@purdue.edu,1/19/16 22:01
114,0@purdue.edu,52@purdue.edu,1/20/16 0:50
115,0@purdue.edu,69@purdue.edu,1/20/16 13:09
116,0@purdue.edu,70@purdue.edu,1/20/16 15:32
117,0@purdue.edu,62@purdue.edu,1/20/16 23:39
118,27@purdue.edu,62@purdue.edu,1/20/16 23:55
119,0@purdue.edu,40@purdue.edu,1/21/16 10:41
120,47@purdue.edu,59@purdue.edu,1/21/16 17:22
121,26@purdue.edu,59@purdue.edu,1/21/16 17:25
122,26@purdue.edu,59@purdue.edu,1/21/16 17:28
123,69@purdue.edu,59@purdue.edu,1/21/16 17:32
124,47@purdue.edu,71@purdue.edu,1/21/16 19:38
125,0@purdue.edu,35@purdue.edu,1/22/16 16:54
126,0@purdue.edu,47@purdue.edu,1/22/16 18:07
127,0@purdue.edu,57@purdue.edu,1/22/16 19:46
128,57@purdue.edu,72@purdue.edu,1/23/16 9:12
129,57@purdue.edu,12@purdue.edu,1/23/16 9:14
130,0@purdue.edu,72@purdue.edu,1/23/16 9:23
131,12@purdue.edu,73@purdue.edu,1/24/16 10:27
132,73@purdue.edu,74@purdue.edu,1/24/16 11:44
133,0@purdue.edu,20@purdue.edu,1/24/16 12:20
134,20@purdue.edu,75@purdue.edu,1/24/16 14:06
135,75@purdue.edu,70@purdue.edu,1/24/16 16:18
136,0@purdue.edu,3@purdue.edu,1/24/16 19:50
137,3@purdue.edu,3@purdue.edu,1/24/16 19:58
138,0@purdue.edu,57@purdue.edu,1/22/16 15:59
139,0@purdue.edu,17@purdue.edu,1/22/16 18:04
140,0@purdue.edu,66@purdue.edu,1/22/16 19:03
141,0@purdue.edu,76@purdue.edu,1/23/16 0:13
142,76@purdue.edu,12@purdue.edu,1/23/16 9:18
143,0@purdue.edu,72@purdue.edu,1/23/16 10:29
144,0@purdue.edu,15@purdue.edu,1/23/16 14:25
145,66@purdue.edu,75@purdue.edu,1/23/16 16:41
146,12@purdue.edu,5@purdue.edu,1/24/16 8:30
147,0@purdue.edu,20@purdue.edu,1/24/16 12:22
148,0@purdue.edu,27@purdue.edu,1/24/16 13:02
149,5@purdue.edu,77@purdue.edu,1/24/16 14:55
150,27@purdue.edu,27@purdue.edu,1/24/16 14:56
151,0@purdue.edu,77@purdue.edu,1/24/16 14:59
152,27@purdue.edu,27@purdue.edu,1/24/16 15:02
153,75@purdue.edu,78@purdue.edu,1/24/16 15:10
154,72@purdue.edu,77@purdue.edu,1/24/16 15:14
155,77@purdue.edu,77@purdue.edu,1/24/16 15:15
156,77@purdue.edu,77@purdue.edu,1/24/16 15:59
157,27@purdue.edu,44@purdue.edu,1/24/16 18:45
158,78@purdue.edu,3@purdue.edu,1/24/16 20:18
159,0@purdue.edu,3@purdue.edu,1/24/16 20:26
160,0@purdue.edu,24@purdue.edu,1/24/16 21:32
161,0@purdue.edu,47@purdue.edu,1/25/16 18:38
162,47@purdue.edu,76@purdue.edu,1/25/16 20:31
163,0@purdue.edu,79@purdue.edu,1/25/16 21:36
164,79@purdue.edu,77@purdue.edu,1/25/16 22:06
165,0@purdue.edu,4@purdue.edu,1/25/16 22:53
166,4@purdue.edu,25@purdue.edu,1/26/16 8:57
167,25@purdue.edu,70@purdue.edu,1/26/16 10:02
168,76@purdue.edu,70@purdue.edu,1/26/16 10:05
169,70@purdue.edu,80@purdue.edu,1/26/16 12:28
170,0@purdue.edu,3@purdue.edu,1/26/16 12:41
171,3@purdue.edu,50@purdue.edu,1/26/16 16:35
172,70@purdue.edu,57@purdue.edu,1/26/16 18:11
173,25@purdue.edu,57@purdue.edu,1/26/16 18:12
174,0@purdue.edu,40@purdue.edu,1/25/16 15:13
175,40@purdue.edu,57@purdue.edu,1/25/16 16:15
176,0@purdue.edu,81@purdue.edu,1/25/16 17:28
177,81@purdue.edu,40@purdue.edu,1/25/16 20:56
178,0@purdue.edu,79@purdue.edu,1/25/16 21:27
179,0@purdue.edu,40@purdue.edu,1/26/16 10:36
180,0@purdue.edu,8@purdue.edu,1/26/16 15:11
181,8@purdue.edu,17@purdue.edu,1/26/16 16:03
182,79@purdue.edu,17@purdue.edu,1/26/16 16:07
183,0@purdue.edu,82@purdue.edu,1/26/16 17:38
184,82@purdue.edu,19@purdue.edu,1/26/16 19:40
185,57@purdue.edu,62@purdue.edu,1/26/16 21:54
186,0@purdue.edu,14@purdue.edu,1/27/16 0:50
187,0@purdue.edu,34@purdue.edu,1/27/16 18:21
188,34@purdue.edu,50@purdue.edu,1/27/16 18:54
189,0@purdue.edu,35@purdue.edu,1/27/16 18:55
190,0@purdue.edu,62@purdue.edu,1/27/16 19:35
191,62@purdue.edu,31@purdue.edu,1/27/16 21:34
192,31@purdue.edu,75@purdue.edu,1/27/16 23:39
193,0@purdue.edu,3@purdue.edu,1/28/16 12:05
194,75@purdue.edu,56@purdue.edu,1/28/16 13:25
195,3@purdue.edu,29@purdue.edu,1/28/16 13:39
196,56@purdue.edu,56@purdue.edu,1/28/16 13:41
197,3@purdue.edu,24@purdue.edu,1/28/16 14:04
198,3@purdue.edu,83@purdue.edu,1/28/16 16:36
199,3@purdue.edu,74@purdue.edu,1/28/16 17:57
200,34@purdue.edu,84@purdue.edu,1/28/16 19:10
201,84@purdue.edu,85@purdue.edu,1/28/16 19:44
202,0@purdue.edu,85@purdue.edu,1/28/16 19:45
203,74@purdue.edu,3@purdue.edu,1/28/16 20:06
204,0@purdue.edu,21@purdue.edu,1/29/16 0:22
205,85@purdue.edu,14@purdue.edu,1/29/16 0:23
206,21@purdue.edu,14@purdue.edu,1/29/16 0:24
207,0@purdue.edu,35@purdue.edu,1/27/16 18:40
208,0@purdue.edu,50@purdue.edu,1/27/16 18:55
209,0@purdue.edu,35@purdue.edu,1/27/16 19:22
210,0@purdue.edu,70@purdue.edu,1/27/16 20:05
211,0@purdue.edu,4@purdue.edu,1/28/16 9:46
212,4@purdue.edu,62@purdue.edu,1/28/16 11:52
213,62@purdue.edu,86@purdue.edu,1/28/16 15:52
214,86@purdue.edu,62@purdue.edu,1/28/16 16:22
215,0@purdue.edu,87@purdue.edu,1/28/16 19:59
216,0@purdue.edu,46@purdue.edu,1/28/16 20:47
217,0@purdue.edu,88@purdue.edu,1/28/16 21:39
218,0@purdue.edu,89@purdue.edu,1/29/16 22:00
219,89@purdue.edu,62@purdue.edu,1/29/16 22:07
220,0@purdue.edu,62@purdue.edu,1/29/16 22:08
221,0@purdue.edu,11@purdue.edu,1/30/16 13:09
222,62@purdue.edu,90@purdue.edu,1/30/16 14:23
223,90@purdue.edu,28@purdue.edu,1/30/16 16:23
224,0@purdue.edu,13@purdue.edu,1/30/16 18:57
225,13@purdue.edu,91@purdue.edu,1/30/16 19:22
226,91@purdue.edu,12@purdue.edu,1/30/16 21:57
227,91@purdue.edu,79@purdue.edu,1/30/16 22:18
228,91@purdue.edu,91@purdue.edu,1/30/16 23:11
229,0@purdue.edu,92@purdue.edu,1/31/16 17:05
230,92@purdue.edu,92@purdue.edu,1/31/16 17:32
231,91@purdue.edu,93@purdue.edu,1/31/16 19:14
232,0@purdue.edu,44@purdue.edu,1/29/16 21:05
233,0@purdue.edu,11@purdue.edu,1/30/16 13:08
234,11@purdue.edu,44@purdue.edu,1/30/16 14:15
235,0@purdue.edu,92@purdue.edu,1/31/16 17:44
236,92@purdue.edu,86@purdue.edu,1/31/16 18:22
237,0@purdue.edu,47@purdue.edu,1/31/16 19:13
238,44@purdue.edu,13@purdue.edu,1/31/16 19:38
239,44@purdue.edu,94@purdue.edu,1/31/16 21:55
240,0@purdue.edu,14@purdue.edu,2/1/16 0:30
241,14@purdue.edu,32@purdue.edu,2/1/16 1:36
242,0@purdue.edu,95@purdue.edu,2/1/16 2:37
243,0@purdue.edu,96@purdue.edu,2/1/16 13:39
244,0@purdue.edu,97@purdue.edu,2/1/16 14:06
245,97@purdue.edu,98@purdue.edu,2/1/16 14:55
246,0@purdue.edu,99@purdue.edu,2/1/16 15:42
247,99@purdue.edu,100@purdue.edu,2/1/16 15:45
248,0@purdue.edu,75@purdue.edu,2/1/16 23:43
249,75@purdue.edu,70@purdue.edu,2/2/16 10:07
250,0@purdue.edu,4@purdue.edu,2/2/16 10:31
251,0@purdue.edu,101@purdue.edu,2/2/16 17:23
252,0@purdue.edu,102@purdue.edu,2/2/16 19:10
253,0@purdue.edu,103@purdue.edu,2/2/16 23:31
254,0@purdue.edu,104@purdue.edu,2/3/16 13:17
255,0@purdue.edu,33@purdue.edu,2/4/16 21:45
256,0@purdue.edu,100@purdue.edu,2/1/16 16:13
257,100@purdue.edu,105@purdue.edu,2/1/16 20:44
258,0@purdue.edu,70@purdue.edu,2/2/16 10:13
259,70@purdue.edu,4@purdue.edu,2/2/16 10:32
260,4@purdue.edu,3@purdue.edu,2/2/16 12:16
261,3@purdue.edu,106@purdue.edu,2/2/16 17:38
262,3@purdue.edu,68@purdue.edu,2/2/16 22:27
263,68@purdue.edu,32@purdue.edu,2/2/16 23:15
264,4@purdue.edu,90@purdue.edu,2/3/16 0:30
265,0@purdue.edu,104@purdue.edu,2/3/16 13:22
266,0@purdue.edu,75@purdue.edu,2/3/16 14:16
267,75@purdue.edu,50@purdue.edu,2/3/16 15:33
268,75@purdue.edu,12@purdue.edu,2/3/16 15:33
269,12@purdue.edu,13@purdue.edu,2/3/16 16:09
270,12@purdue.edu,4@purdue.edu,2/3/16 16:27
271,4@purdue.edu,13@purdue.edu,2/3/16 16:39
272,13@purdue.edu,12@purdue.edu,2/3/16 17:12
273,0@purdue.edu,89@purdue.edu,2/3/16 18:35
274,0@purdue.edu,84@purdue.edu,2/4/16 21:22
275,0@purdue.edu,84@purdue.edu,2/4/16 21:30
276,84@purdue.edu,32@purdue.edu,2/5/16 0:09
277,32@purdue.edu,32@purdue.edu,2/5/16 0:37
278,0@purdue.edu,107@purdue.edu,2/5/16 1:18
279,107@purdue.edu,107@purdue.edu,2/5/16 1:23
280,0@purdue.edu,13@purdue.edu,2/3/16 16:35
281,0@purdue.edu,44@purdue.edu,2/3/16 18:50
282,0@purdue.edu,58@purdue.edu,2/4/16 15:35
283,0@purdue.edu,108@purdue.edu,2/4/16 16:56
284,0@purdue.edu,108@purdue.edu,2/4/16 16:58
285,0@purdue.edu,108@purdue.edu,2/4/16 17:32
286,0@purdue.edu,84@purdue.edu,2/4/16 21:43
287,108@purdue.edu,109@purdue.edu,2/4/16 21:45
288,0@purdue.edu,33@purdue.edu,2/4/16 21:46
289,0@purdue.edu,35@purdue.edu,2/5/16 16:52
290,35@purdue.edu,57@purdue.edu,2/5/16 21:38
291,57@purdue.edu,102@purdue.edu,2/6/16 13:58
292,102@purdue.edu,110@purdue.edu,2/6/16 16:56
293,0@purdue.edu,14@purdue.edu,2/7/16 14:25
294,0@purdue.edu,111@purdue.edu,2/8/16 7:23
295,0@purdue.edu,112@purdue.edu,2/5/16 15:53
296,0@purdue.edu,112@purdue.edu,2/5/16 15:58
297,0@purdue.edu,73@purdue.edu,2/6/16 8:40
298,0@purdue.edu,113@purdue.edu,2/6/16 15:34
299,0@purdue.edu,113@purdue.edu,2/6/16 15:43
300,112@purdue.edu,30@purdue.edu,2/6/16 17:04
301,0@purdue.edu,91@purdue.edu,2/6/16 20:50
302,0@purdue.edu,14@purdue.edu,2/7/16 13:54
303,0@purdue.edu,14@purdue.edu,2/7/16 14:06
304,0@purdue.edu,14@purdue.edu,2/7/16 14:17
305,91@purdue.edu,114@purdue.edu,2/7/16 14:47
306,114@purdue.edu,91@purdue.edu,2/7/16 16:18
307,0@purdue.edu,85@purdue.edu,2/7/16 20:53
308,85@purdue.edu,14@purdue.edu,2/7/16 21:55
309,73@purdue.edu,81@purdue.edu,2/8/16 9:09
310,0@purdue.edu,101@purdue.edu,2/8/16 13:24
311,101@purdue.edu,115@purdue.edu,2/8/16 17:45
312,0@purdue.edu,116@purdue.edu,2/8/16 22:40
313,0@purdue.edu,62@purdue.edu,2/9/16 12:00
314,0@purdue.edu,107@purdue.edu,2/9/16 17:28
315,116@purdue.edu,3@purdue.edu,2/9/16 18:58
316,0@purdue.edu,104@purdue.edu,2/9/16 20:28
317,0@purdue.edu,117@purdue.edu,2/10/16 7:12
318,0@purdue.edu,118@purdue.edu,2/8/16 21:56
319,0@purdue.edu,102@purdue.edu,2/9/16 9:59
320,102@purdue.edu,3@purdue.edu,2/9/16 20:03
321,0@purdue.edu,24@purdue.edu,2/11/16 0:38
322,0@purdue.edu,44@purdue.edu,2/11/16 1:25
323,44@purdue.edu,25@purdue.edu,2/11/16 15:26
324,0@purdue.edu,119@purdue.edu,2/11/16 17:44
325,119@purdue.edu,120@purdue.edu,2/11/16 18:48
326,25@purdue.edu,100@purdue.edu,2/11/16 18:56
327,120@purdue.edu,121@purdue.edu,2/11/16 20:22
328,0@purdue.edu,34@purdue.edu,2/11/16 21:48
329,34@purdue.edu,28@purdue.edu,2/11/16 22:49
330,0@purdue.edu,122@purdue.edu,2/11/16 23:16
331,0@purdue.edu,48@purdue.edu,2/11/16 16:20
332,0@purdue.edu,122@purdue.edu,2/11/16 23:14
333,0@purdue.edu,4@purdue.edu,2/12/16 13:04
334,0@purdue.edu,50@purdue.edu,2/12/16 14:42
335,0@purdue.edu,12@purdue.edu,2/12/16 18:48
336,0@purdue.edu,123@purdue.edu,2/13/16 17:01
337,123@purdue.edu,62@purdue.edu,2/13/16 18:12
338,62@purdue.edu,123@purdue.edu,2/14/16 16:14
339,0@purdue.edu,84@purdue.edu,2/14/16 16:40
340,0@purdue.edu,119@purdue.edu,2/14/16 17:28
341,119@purdue.edu,32@purdue.edu,2/14/16 21:54
342,84@purdue.edu,32@purdue.edu,2/14/16 21:59
343,0@purdue.edu,63@purdue.edu,2/13/16 17:13
344,63@purdue.edu,62@purdue.edu,2/13/16 18:10
345,0@purdue.edu,84@purdue.edu,2/14/16 16:39
346,0@purdue.edu,99@purdue.edu,2/14/16 17:13
347,0@purdue.edu,113@purdue.edu,2/14/16 19:56
348,0@purdue.edu,33@purdue.edu,2/18/16 21:38
349,0@purdue.edu,68@purdue.edu,2/18/16 20:31
350,0@purdue.edu,124@purdue.edu,2/18/16 20:33
351,0@purdue.edu,58@purdue.edu,2/18/16 11:07
352,0@purdue.edu,125@purdue.edu,2/18/16 15:54
353,125@purdue.edu,14@purdue.edu,2/18/16 21:58
354,0@purdue.edu,126@purdue.edu,2/19/16 14:19
355,0@purdue.edu,127@purdue.edu,2/19/16 14:30
356,0@purdue.edu,128@purdue.edu,2/19/16 16:23
357,0@purdue.edu,129@purdue.edu,2/20/16 20:54
358,129@purdue.edu,130@purdue.edu,2/21/16 16:26
359,0@purdue.edu,70@purdue.edu,2/21/16 18:14
360,129@purdue.edu,85@purdue.edu,2/21/16 19:06
361,70@purdue.edu,85@purdue.edu,2/21/16 19:08
362,0@purdue.edu,101@purdue.edu,2/21/16 19:52
363,126@purdue.edu,128@purdue.edu,2/21/16 20:04
364,0@purdue.edu,131@purdue.edu,2/21/16 21:32
365,0@purdue.edu,14@purdue.edu,2/22/16 10:30
366,0@purdue.edu,65@purdue.edu,2/19/16 12:07
367,0@purdue.edu,126@purdue.edu,2/19/16 14:21
368,126@purdue.edu,13@purdue.edu,2/21/16 13:29
369,0@purdue.edu,101@purdue.edu,2/21/16 19:54
370,0@purdue.edu,90@purdue.edu,2/22/16 10:28
371,0@purdue.edu,14@purdue.edu,2/22/16 10:29
372,0@purdue.edu,35@purdue.edu,2/22/16 13:55
373,35@purdue.edu,121@purdue.edu,2/22/16 14:06
374,0@purdue.edu,63@purdue.edu,2/22/16 14:59
375,0@purdue.edu,76@purdue.edu,2/22/16 15:25
376,76@purdue.edu,110@purdue.edu,2/22/16 16:51
377,0@purdue.edu,84@purdue.edu,2/22/16 20:25
378,84@purdue.edu,113@purdue.edu,2/23/16 9:59
379,63@purdue.edu,113@purdue.edu,2/23/16 10:06
380,113@purdue.edu,49@purdue.edu,2/23/16 10:51
381,0@purdue.edu,113@purdue.edu,2/23/16 11:11
382,113@purdue.edu,132@purdue.edu,2/23/16 12:29
383,113@purdue.edu,94@purdue.edu,2/23/16 12:30
384,0@purdue.edu,44@purdue.edu,2/23/16 13:59
385,0@purdue.edu,44@purdue.edu,2/23/16 14:02
386,0@purdue.edu,24@purdue.edu,2/23/16 14:23
387,84@purdue.edu,71@purdue.edu,2/23/16 14:36
388,113@purdue.edu,13@purdue.edu,2/23/16 19:11
389,113@purdue.edu,3@purdue.edu,2/23/16 20:09
390,0@purdue.edu,133@purdue.edu,2/23/16 21:01
391,0@purdue.edu,14@purdue.edu,2/23/16 23:52
392,84@purdue.edu,134@purdue.edu,2/24/16 0:34
393,0@purdue.edu,121@purdue.edu,2/22/16 14:04
394,0@purdue.edu,99@purdue.edu,2/22/16 18:45
395,0@purdue.edu,84@purdue.edu,2/22/16 19:59
396,0@purdue.edu,135@purdue.edu,2/22/16 22:10
397,135@purdue.edu,121@purdue.edu,2/23/16 9:59
398,121@purdue.edu,84@purdue.edu,2/23/16 15:47
399,84@purdue.edu,3@purdue.edu,2/23/16 20:45
400,3@purdue.edu,136@purdue.edu,2/23/16 23:07
401,0@purdue.edu,108@purdue.edu,2/24/16 12:52
402,0@purdue.edu,129@purdue.edu,2/24/16 14:29
403,129@purdue.edu,129@purdue.edu,2/24/16 14:53
404,0@purdue.edu,137@purdue.edu,2/24/16 15:22
405,137@purdue.edu,138@purdue.edu,2/24/16 16:58
406,138@purdue.edu,17@purdue.edu,2/24/16 17:37
407,129@purdue.edu,105@purdue.edu,2/24/16 18:08
408,17@purdue.edu,139@purdue.edu,2/24/16 21:58
409,0@purdue.edu,140@purdue.edu,2/25/16 9:45
410,140@purdue.edu,76@purdue.edu,2/25/16 14:05
411,139@purdue.edu,27@purdue.edu,2/25/16 15:41
412,129@purdue.edu,130@purdue.edu,2/26/16 3:53
413,0@purdue.edu,105@purdue.edu,2/24/16 18:19
414,0@purdue.edu,11@purdue.edu,2/25/16 9:57
415,11@purdue.edu,31@purdue.edu,2/25/16 15:43
416,31@purdue.edu,141@purdue.edu,2/25/16 16:13
417,141@purdue.edu,27@purdue.edu,2/25/16 16:17
418,0@purdue.edu,3@purdue.edu,2/25/16 16:44
419,141@purdue.edu,27@purdue.edu,2/25/16 17:10
420,27@purdue.edu,3@purdue.edu,2/25/16 18:31
421,3@purdue.edu,108@purdue.edu,2/25/16 22:40
422,0@purdue.edu,66@purdue.edu,2/26/16 21:49
423,66@purdue.edu,142@purdue.edu,2/27/16 10:35
424,66@purdue.edu,108@purdue.edu,2/27/16 15:17
425,0@purdue.edu,63@purdue.edu,2/27/16 15:35
426,0@purdue.edu,108@purdue.edu,2/27/16 15:46
427,63@purdue.edu,143@purdue.edu,2/27/16 18:21
428,0@purdue.edu,144@purdue.edu,2/27/16 20:41
429,0@purdue.edu,49@purdue.edu,2/27/16 20:52
430,144@purdue.edu,131@purdue.edu,2/27/16 23:27
431,143@purdue.edu,106@purdue.edu,2/28/16 12:04
432,106@purdue.edu,47@purdue.edu,2/28/16 13:01
433,0@purdue.edu,113@purdue.edu,2/28/16 14:22
434,113@purdue.edu,145@purdue.edu,2/28/16 14:27
435,108@purdue.edu,123@purdue.edu,2/28/16 15:55
436,0@purdue.edu,113@purdue.edu,2/28/16 16:06
437,123@purdue.edu,89@purdue.edu,2/28/16 16:08
438,113@purdue.edu,63@purdue.edu,2/28/16 17:57
439,0@purdue.edu,77@purdue.edu,2/28/16 21:42
440,63@purdue.edu,77@purdue.edu,2/28/16 21:59
441,0@purdue.edu,14@purdue.edu,2/29/16 10:00
442,0@purdue.edu,66@purdue.edu,2/26/16 21:50
443,0@purdue.edu,108@purdue.edu,2/27/16 15:09
444,108@purdue.edu,108@purdue.edu,2/27/16 15:10
445,0@purdue.edu,15@purdue.edu,2/27/16 21:40
446,15@purdue.edu,126@purdue.edu,2/27/16 21:43
447,108@purdue.edu,47@purdue.edu,2/28/16 13:00
448,108@purdue.edu,86@purdue.edu,2/28/16 20:20
449,0@purdue.edu,3@purdue.edu,2/28/16 21:29
450,0@purdue.edu,146@purdue.edu,2/28/16 22:20
451,146@purdue.edu,147@purdue.edu,2/29/16 6:51
452,0@purdue.edu,7@purdue.edu,2/29/16 17:13
453,7@purdue.edu,39@purdue.edu,2/29/16 17:51
454,7@purdue.edu,148@purdue.edu,2/29/16 18:02
455,0@purdue.edu,44@purdue.edu,2/29/16 18:05
456,44@purdue.edu,149@purdue.edu,2/29/16 18:24
457,0@purdue.edu,149@purdue.edu,2/29/16 18:26
458,148@purdue.edu,7@purdue.edu,2/29/16 18:39
459,7@purdue.edu,144@purdue.edu,2/29/16 20:11
460,148@purdue.edu,150@purdue.edu,2/29/16 20:44
461,0@purdue.edu,39@purdue.edu,2/29/16 21:43
462,149@purdue.edu,116@purdue.edu,3/1/16 13:07
463,7@purdue.edu,151@purdue.edu,3/1/16 13:42
464,44@purdue.edu,151@purdue.edu,3/1/16 13:47
465,151@purdue.edu,27@purdue.edu,3/1/16 17:31
